dataset,field_id,type,description,coverage,alphaCount,userCount,score
news12,news_mins_3_pct_dn,MATRIX,Number of minutes before the price decreased by at least 3 percent after the news release,0.9174,371,221,177.94232545209286
analyst4,operating_profit_before_depr_amort_max_guidance_qtr,MATRIX,"Max guidance value for Earnings before interest, taxes, depreciation and amortization",1.0,183,171,177.88682996015714
model77,mdl177_2_industryrrelativevaluefactor_curindbp_,MATRIX,"Industry Relative Book-to-Market: Stock's current book-to-price ratio minus industry average, scaled by industry standard deviation",0.9902,238,123,177.88604334734026
analyst4,anl4_total_rec,VECTOR,The total number of recommendations,0.6243,2540,1651,177.88183960360624
model53,mdl53_jm5_2year,MATRIX,2-year annualized default probability (percentage) from Kamakura hybrid Jarrow–Merton v5 model,0.965,323,108,177.764174569069
model77,mdl177_2_earningsqualityfactor_ttmaccu,MATRIX,"Difference between trailing 12-month net income and trailing 12-month operating cash flow, scaled by beginning total assets",1.0,250,88,177.6977112399785
analyst4,anl4_netprofita_high,MATRIX,Adjusted Net Income - the highest estimation,0.7511,1048,732,177.65165459339624
model53,mdl53_jc6_4year,MATRIX,Annualized default probability at the 4-year horizon (percentage) from the Kamakura Jarrow–Chava v6 model for US issuers,0.9147,418,173,177.64398569529402
model77,mdl177_pricemomentumfactor_visiratio_alt,MATRIX,Visibility Ratio; most recent daily trading volume divided by average daily trading volume in prior 50 trading days,1.0,221,110,177.57442482528447
model53,mdl53_jm5_7year,MATRIX,7-year annualized default probability (percentage) from Kamakura hybrid Jarrow–Merton v5 model,0.965,341,93,177.56458128197607
model77,mdl177_deepvaluefactor_ttmocfp_alt,MATRIX,TTM Operating Cash Flow-to-Price: trailing 12-month operating cash flow per share divided by trading price,1.0,209,122,177.53199708403676
analyst4,anl4_fs_detail_estimate_1qf_v4_nd_epsr_number,MATRIX,Number of EPS growth rate estimates,0.8623,463,391,177.48515472121485
model77,mdl177_2_sensitivityfactor400_irttmsalesev,MATRIX,Stock's trailing 12 month sales-to-enterprise (SEV) value less the average of the SEVs of all stocks in the same industry deflated by the standard deviation of the SEVs of all stocks in the same relative universe.,0.9861,279,89,177.4569443833438
news12,news_mins_4_chg,MATRIX,"Minimum value among L or S (minutes to reach positive/negative return thresholds) for each minute bucket, representing the fastest reaction time at the 4th percentile",0.9209,364,191,177.37645039596384
news12,nws12_prez_allticks,VECTOR,Total number of ticks for the trading day,0.9199,350,210,177.357152902039
pv13,pv13_new_6l_scibr,GROUP,grouping fields,0.9896,220,131,177.35563662810938
model77,mdl177_earningsqualityfactor_ttmaccu,MATRIX,"Accounting accruals; trailing 12-month net income minus trailing 12-month operating cash flow, scaled by beginning total assets",1.0,236,92,177.34359887711759
analyst4,anl4_dez1afv4_est,VECTOR,Estimation value,0.967,242,170,177.33893221591876
model77,mdl177_vra_surpriseforecastmodule,MATRIX,Surprise Forecaster Module,1.0,301,56,177.31952651292144
model77,mdl177_fa_ollev,MATRIX,Operating Liability Leverage: 1 minus the ratio of (short-term debt + long-term debt + common equity + preferred equity − cash) to (total assets − cash) in the current quarter; indicates operational leverage from liabilities,1.0,208,117,177.27676564197645
model77,mdl177_2_sensitivityfactor400_rev3my1std,MATRIX,"The change in a stock's current analysts mean earnings estimate for fiscal year 1 less that of three months ago, scaled by the standard deviation of analyst forecasts as of three months ago.",0.9321,401,120,177.15347361417395
analyst4,net_income_adjusted,MATRIX,Adjusted net income- announced financial value for annual frequency,0.9134,343,234,177.04434414445478
fundamental2,fn_op_lease_rent_exp_a,MATRIX,"Rental expense for the reporting period incurred under operating leases, including minimum and any contingent rent expense, net of related sublease income.",0.6377,2446,1143,177.00761149412543
model77,mdl177_fa_fc_f12mepssev,MATRIX,Forward 12-Month EPS-to-Enterprise Value: Consensus forward 12-month EPS forecast divided by market value of equity plus long-term debt per share,0.9629,275,133,176.98320765692606
model77,mdl177_2_valueanalystmodel_qva_epmodule,MATRIX,"Rank based on cyclicality of company earnings, measuring how variable or stable earnings are",0.9984,200,123,176.97445690861593
news12,news_mins_10_pct_up,MATRIX,Number of minutes before the price increased by at least 10 percent after the news release,0.6282,2542,1267,176.95697832920706
model77,mdl177_vra2_dvm_composite,MATRIX,"Composite score measuring deep value characteristics for US equities, aggregating multiple valuation-related signals such as price-to-book, price-to-earnings, and other fundamental ratios",0.9916,268,77,176.89065792946633
pv13,pv13_hierarchy_min2_pureplay_only_sector,GROUP,grouping fields,0.7036,1421,866,176.78339098753457
model77,abnormal_return_earnings_release,MATRIX,Abnormal stock return around quarterly earnings release event,0.9992,202,114,176.77672043223413
